StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Last Seen Flow Element ID,Last Seen Question IDs,Consent Form,S1,S2,S3,S4,HH,HL,LH,LL,CT1,CT2,CT3,CT4,PT1,PT2,PT3,PT4,PKA1,PKA2,PKA3,PKA4,Attention Check,MC-CV1,MC-CV2,MC-ID1,MC-ID2,MC-ID3,DEM 1,DEM 2,DEM 3,DEM 4,Condition
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Last Seen Flow Element ID,Last Seen Question IDs,"Please complete this consent form after you have read the Participant Information Sheet.

I confirm that I have read and understood the information sheet dated 06/08/26 for the above project and that I meet the eligibility criteria. I confirm I have had the opportunity to consider the information provided and to ask questions which have been answered to my satisfaction.

I consent voluntarily to be a participant in this project and understand that I can refuse to take part and can withdraw from the project at any time, without having to give a reason. Once I submit my responses, it will no longer be possible to withdraw my data because the data collected through this study will be fully anonymous.

I understand my information will be processed for the purposes explained to me in the Information Sheet. I understand that such information will be handled under the terms of UK data protection law, including the UK GDPR and the Data Protection Act 2018.

I understand that my information may be subject to review by responsible individuals from the College for monitoring and audit purposes.",Are you aged 18 or above?,Are you able to read and understand English comfortably?,How often do you use social media?,"In the past six months, have you come across product recommendations made by creators or influencers on social media?","Please read the following social media post carefully, as you would if you came across it on social media.","Please read the following social media post carefully, as you would if you came across it on social media.","Please read the following social media post carefully, as you would if you came across it on social media.","Please read the following social media post carefully, as you would if you came across it on social media.",This recommendation appears to reflect genuine concern for consumers like me.,This recommendation appears to have consumers' best interests in mind.,This recommendation provides honest information about the product.,I believe the information in this recommendation is sincere.,This platform appears to have adequate safeguards to protect consumers.,This platform appears to have structures in place to ensure transactions are handled fairly.,This platform seems to provide a reliable shopping environment.,Shopping through this platform would feel safe.,I recognise that this post has a commercial purpose.,I understand that this post is intended to promote the product.,I am aware that the creator is trying to influence consumers' views of the product.,I recognise that the creator may benefit commercially from this recommendation.,This is an attention check. Please select Strongly Agree for this item.,This post clearly indicated a commercial relationship between the creator and the brand.,Commercial features were clearly visible in this post.,The information in this post was helpful for me to evaluate whether this product suits my needs.,The information in this post provided enough detail for me to judge the product's performance.,The information in this post helped me understand how the product would perform.,What is your age group?,What is your gender?,Have you ever purchased a product after seeing it recommended by a creator or influencer on social media?,How familiar are you with facial moisturiser products?,Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""LastSeenFlowID""}","{""ImportId"":""LastSeenQuestions""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID50""}","{""ImportId"":""QID64""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID16""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""Condition""}"
09/09/2026 02:53,09/09/2026 02:54,Survey Preview,100,34,TRUE,09/09/2026 02:54,R_90VERfSVZ29Y74p,,,,,preview,EN,FL_EOS_ID,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/09/2026 02:54,09/09/2026 02:56,Survey Preview,100,101,TRUE,09/09/2026 02:56,R_9h5Mm2SWHRIcs2R,,,,,preview,ZH-S,FL_EOS_ID,,I agree,Yes,Yes,Daily,Yes,,,Please confirm you have read the post before continuing.,,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Somewhat disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,25-34,Woman,Yes,Very familiar,LH
09/09/2026 03:12,09/09/2026 03:13,Survey Preview,100,87,TRUE,09/09/2026 03:13,R_9wlwez83wIQOGu5,,,,,preview,ZH-S,FL_EOS_ID,,I agree,Yes,Yes,I don't use social media,No,Please confirm you have read the post before continuing.,,,,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,25-34,Woman,Yes,Extremely familiar,HH
09/09/2026 03:20,09/09/2026 03:22,IP Address,100,113,TRUE,09/09/2026 03:22,R_4yrrrqVoyUYeaTQ,,,,,anonymous,EN,FL_EOS_ID,,I agree,Yes,Yes,Daily,Yes,,,,Please confirm you have read the post before continuing.,Somewhat disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,25-34,Woman,Yes,Extremely familiar,LL
09/09/2026 03:22,09/09/2026 03:23,IP Address,100,79,TRUE,09/09/2026 03:23,R_4HPcqEiLQdCMGtP,,,,,anonymous,ZH-S,FL_EOS_ID,,I agree,Yes,Yes,Daily,Yes,,Please confirm you have read the post before continuing.,,,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Disagree,Disagree,18-24,Woman,Yes,Quite familiar,HL
09/09/2026 03:23,09/09/2026 03:25,IP Address,100,87,TRUE,09/09/2026 03:25,R_4fe8Aq2FvHspK72,,,,,anonymous,ZH-S,FL_EOS_ID,,I agree,Yes,Yes,Daily,Yes,,,Please confirm you have read the post before continuing.,,Agree,Agree,Strongly agree,Strongly agree,Somewhat disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,25-34,Woman,Yes,Quite familiar,LH
09/09/2026 03:25,09/09/2026 03:26,IP Address,100,69,TRUE,09/09/2026 03:26,R_4CqB0Ua9X8YTPxO,,,,,anonymous,ZH-S,FL_EOS_ID,,I agree,Yes,Yes,Daily,Yes,Please confirm you have read the post before continuing.,,,,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,25-34,Woman,Yes,Very familiar,HH
09/09/2026 03:27,09/09/2026 03:32,IP Address,100,314,TRUE,09/09/2026 03:32,R_70oBn4ruHvk1bcg,,,,,anonymous,ZH-S,FL_EOS_ID,,I agree,Yes,Yes,Daily,Yes,,Please confirm you have read the post before continuing.,,,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,25-34,Woman,No,Moderately familiar,HL
